epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,15743.2,1.38048,0.90506,1.21179,0.81148,0.67024,0.76501,0.4787,1.43845,0.86862,1.32853,0.0084655,0.0084655,0.0084655
157,15844.3,1.38694,0.91704,1.21843,0.81102,0.67058,0.76512,0.47892,1.4386,0.86845,1.32858,0.0084556,0.0084556,0.0084556
158,15945.8,1.37705,0.90499,1.20954,0.81088,0.67054,0.76517,0.47888,1.43853,0.86838,1.32853,0.0084457,0.0084457,0.0084457
159,16047.9,1.39135,0.91228,1.21257,0.81044,0.67081,0.76528,0.47885,1.43845,0.86827,1.32864,0.0084358,0.0084358,0.0084358
160,16147.5,1.384,0.90488,1.21119,0.80982,0.67119,0.76547,0.47905,1.43855,0.86823,1.32864,0.0084259,0.0084259,0.0084259
161,16247.6,1.38682,0.90861,1.21182,0.81063,0.67075,0.76542,0.47908,1.43827,0.8681,1.32858,0.008416,0.008416,0.008416
162,16346.8,1.38289,0.90761,1.20967,0.8109,0.67078,0.76573,0.47925,1.43817,0.86807,1.32859,0.0084061,0.0084061,0.0084061
163,16447.5,1.37885,0.906,1.21034,0.81064,0.67087,0.76561,0.47942,1.43811,0.86829,1.32871,0.0083962,0.0083962,0.0083962
164,16547.2,1.38648,0.91124,1.21268,0.81068,0.67081,0.76566,0.47915,1.43839,0.86828,1.32887,0.0083863,0.0083863,0.0083863
165,16646.1,1.38039,0.91149,1.20943,0.81079,0.67027,0.76564,0.4791,1.4383,0.86829,1.32902,0.0083764,0.0083764,0.0083764
166,16745.5,1.36857,0.8956,1.20794,0.81158,0.67059,0.7661,0.47915,1.43816,0.86775,1.32905,0.0083665,0.0083665,0.0083665
167,16845.5,1.38365,0.90786,1.21044,0.81168,0.66987,0.76596,0.47913,1.43821,0.86792,1.32897,0.0083566,0.0083566,0.0083566
168,16944.8,1.37877,0.90616,1.2097,0.81093,0.67024,0.76611,0.47902,1.43809,0.86779,1.32893,0.0083467,0.0083467,0.0083467
169,17045.5,1.37541,0.90096,1.21454,0.81143,0.67041,0.76625,0.47912,1.43814,0.86769,1.32902,0.0083368,0.0083368,0.0083368
170,17145.5,1.38445,0.90798,1.2091,0.81189,0.67065,0.76627,0.4793,1.43805,0.86752,1.32904,0.0083269,0.0083269,0.0083269
171,17245,1.3803,0.91038,1.21069,0.8125,0.67068,0.76663,0.47922,1.43791,0.86745,1.32887,0.008317,0.008317,0.008317
172,17344,1.3784,0.902,1.20711,0.81063,0.67187,0.76655,0.47942,1.43799,0.86736,1.32899,0.0083071,0.0083071,0.0083071
173,17442.8,1.37818,0.90198,1.20893,0.81153,0.67112,0.76638,0.47938,1.43777,0.86748,1.32904,0.0082972,0.0082972,0.0082972
174,17543.2,1.38406,0.90867,1.20813,0.81183,0.67112,0.76647,0.4794,1.43759,0.86691,1.32899,0.0082873,0.0082873,0.0082873
175,17643.1,1.38071,0.9041,1.21295,0.81128,0.67147,0.76649,0.47939,1.43757,0.86675,1.32888,0.0082774,0.0082774,0.0082774
176,17742.8,1.37759,0.90424,1.20923,0.81165,0.67136,0.76651,0.47956,1.43753,0.86675,1.329,0.0082675,0.0082675,0.0082675
